Level,Topic,No.,True or False - Question,T/F,Answer
1,Quality Control,6,"Quality control methods, such as Failure Mode and Effects Analysis (FMEA), are only applicable during the product design phase.",FALSE,"FMEA and similar methods can be applied at various stages of a product's life cycle, including production and post-production."
1,Pull Systems,1,"In a pull system, process is driven by customer demand, and items are processed only when needed.",TRUE,"A pull system ensures processes are done based on actual demand, reducing overproduction."
1,Pull Systems,2,Kanban is a commonly used tool in pull systems to control the flow of materials and information.,TRUE,Kanban is a visual signaling system used to manage production and inventory in pull systems.
1,Pull Systems,3,"Pull systems are primarily suitable for high-demand, high-volume production environments.",FALSE,"Pull systems can be implemented in various production environments, regardless of volume."
1,Pull Systems,4,"In a push system, items are produced based on forecasts and then pushed to the next stage in the process.",TRUE,Push systems rely on forecasts and can lead to overproduction.
1,Pull Systems,5,"Pull systems aim to reduce lead times, minimize inventory, and improve overall efficiency.",TRUE,Pull systems are designed to achieve these objectives.
1,Pull Systems,6,Pull systems are often less responsive to changes in customer demand compared to push systems.,FALSE,Pull systems are generally more responsive to changes in customer demand because production is based on actual demand.
1,Visual Signals,1,Visual signals are used to communicate information quickly and effectively without the need for written or verbal instructions.,TRUE,"Visual signals convey information visually, reducing the need for written or verbal communication."
1,Visual Signals,2,Andon lights are a type of visual signal used in the process workstation to indicate a problem or stoppage in the workstation.,TRUE,Andon lights are commonly used as visual signals to alert workers to issues.
1,Visual Signals,3,Visual signals are only used in manufacturing and have no relevance in service industries.,FALSE,Visual signals can be applied in both manufacturing and service industries to improve processes.
1,Visual Signals,4,Visual management is primarily focused on creating aesthetically pleasing work environments.,FALSE,"Visual management is focused on using visuals to improve efficiency, safety, and communication."
1,Visual Signals,5,"5S, a lean methodology, includes a component called ""shine,"" which is related to visual cleanliness and organization.",TRUE,"The ""shine"" component of 5S emphasizes visual cleanliness and organization."
1,Visual Signals,6,Visual signals are static and do not change over time in response to evolving conditions.,FALSE,"Visual signals can be dynamic and change in response to changing conditions, such as changing production priorities."
2,Value Stream Mapping,1,Value stream mapping is primarily used to analyze and improve manufacturing processes.,FALSE,"Value stream mapping can be applied to various processes, not limited to manufacturing, including supply chain and service processes."
2,Value Stream Mapping,2,The goal of value stream mapping is to eliminate all non-value-added activities from the process.,TRUE,"Value stream mapping aims to identify and eliminate waste, which includes non-value-added activities, from the process."
2,Value Stream Mapping,3,Value stream mapping is a one-time activity and does not require continuous monitoring and improvement.,FALSE,Value stream mapping is an iterative process that involves continuous monitoring and improvement to achieve operational excellence.
2,Value Stream Mapping,4,"In value stream mapping, the ""future state"" map represents the current state of the process.",FALSE,"The ""future state"" map represents the desired state of the process after improvements have been implemented."
2,Value Stream Mapping,5,Value stream mapping primarily focuses on cost reduction and ignores customer satisfaction.,FALSE,Value stream mapping considers both cost reduction and customer satisfaction as important objectives.
2,Value Stream Mapping,6,Value stream mapping is a tool exclusively used by managers and does not involve input from frontline employees.,FALSE,Value stream mapping often includes input from frontline employees who have valuable insights into the process.
2,Total Quality Management,1,Total Quality Management is a one-time quality control program that does not require long-term commitment.,FALSE,"TQM is a long-term, continuous process that involves the commitment of all employees to improve product and service quality."
2,Total Quality Management,2,TQM emphasizes the role of leadership in driving quality improvement.,TRUE,TQM places a strong emphasis on leadership's commitment to quality improvement.
2,Total Quality Management,3,TQM primarily focuses on inspecting and rejecting defective products.,FALSE,TQM emphasizes preventing defects in the first place through process improvement.
2,Total Quality Management,4,"TQM involves a customer-centric approach, with a focus on meeting or exceeding customer expectations.",TRUE,TQM prioritizes customer satisfaction and meeting customer requirements.
2,Total Quality Management,5,TQM encourages a culture of blame and punishment for mistakes.,FALSE,TQM promotes a culture of continuous improvement and encourages learning from mistakes without blame.
2,Total Quality Management,6,"TQM principles do not apply to service industries, only to manufacturing.",FALSE,TQM principles can be applied to both manufacturing and service industries.
2,Voice Of Customer,1,Voice of the Customer refers only to customer complaints and feedback.,FALSE,"VOC encompasses all forms of customer input, including complaints, feedback, surveys, and even unspoken needs."
2,Voice Of Customer,2,"It is not necessary to regularly update and analyze VOC data; once collected, it remains relevant indefinitely.",FALSE,VOC data should be regularly updated and analyzed to capture changing customer preferences and expectations.
2,Voice Of Customer,3,VOC is primarily concerned with meeting internal quality standards set by the organization.,FALSE,"VOC is concerned with meeting customer expectations, which may or may not align with internal quality standards."
2,Voice Of Customer,4,"VOC is only relevant for businesses that directly interact with end customers, not for B2B organizations.",FALSE,"VOC is relevant for all businesses, including B2B organizations, as they have customers with specific needs and expectations."
2,Voice Of Customer,5,"VOC data should drive product and service development, but it should not influence marketing strategies.",FALSE,VOC data should influence both product/service development and marketing strategies to better align with customer needs.
2,Voice Of Customer,6,VOC is a one-time activity and does not require continuous feedback and adjustment.,FALSE,VOC is an ongoing process that requires continuous feedback and adjustment to remain relevant.
2,ABC Analysis,1,ABC analysis categorizes items based on their alphabetical names.,FALSE,ABC analysis categorizes items based on their importance or value to the organization.
2,ABC Analysis,2,"In ABC analysis, Category A items are typically the least important and have the lowest value.",FALSE,"Category A items are the most important and valuable items, typically constituting a small percentage of the total."
2,ABC Analysis,3,ABC analysis is primarily used for financial reporting and does not have applications in supply chain management.,FALSE,ABC analysis is commonly used in supply chain management to prioritize inventory and resource allocation.
2,ABC Analysis,4,ABC analysis categorizes items based solely on their purchase price and ignores other factors.,FALSE,"ABC analysis considers various factors, including purchase price, demand, and usage frequency."
2,ABC Analysis,5,"In ABC analysis, Category C items are the most critical to the organization's success.",FALSE,Category C items are typically the least critical and have the lowest value.
2,ABC Analysis,6,ABC analysis is a static method and does not require periodic reassessment.,FALSE,ABC analysis should be periodically reassessed to account for changes in demand and item importance.
2,Failure Mode Effect Analysis,1,FMEA is a reactive approach to addressing failures after they occur.,FALSE,FMEA is a proactive approach to identify and address potential failures before they occur.
2,Failure Mode Effect Analysis,2,"FMEA considers the severity of a failure, but it does not assess the likelihood of occurrence or the ability to detect the failure.",FALSE,"FMEA assesses the severity, likelihood of occurrence, and ability to detect failures."
2,Failure Mode Effect Analysis,3,FMEA is only applicable to manufacturing processes and not relevant to service industries.,FALSE,FMEA can be applied to both manufacturing and service processes to improve quality and reliability.
2,Failure Mode Effect Analysis,4,FMEA is a one-time analysis and does not require regular updates.,FALSE,FMEA should be regularly updated to account for changing processes and new risks.
2,Failure Mode Effect Analysis,5,FMEA is primarily focused on finding someone to blame for failures.,FALSE,"FMEA is focused on preventing failures and improving processes, not on assigning blame."
2,Failure Mode Effect Analysis,6,FMEA is a simple and quick analysis that does not require significant effort.,FALSE,FMEA can be a complex and thorough analysis that requires careful consideration and effort to be effective.
2,Skill Matrix,1,A skill matrix is primarily used to assess and track the performance of suppliers in the supply chain.,FALSE,"A skill matrix is used to assess and track the skills and competencies of employees within an organization, not suppliers"
2,Skill Matrix,2,Skill matrices help identify skill gaps and training needs among employees.,TRUE,Skill matrices are used to identify areas where employees may lack necessary skills or training
2,Skill Matrix,3,Skill matrices are not useful for workforce planning in the supply chain.,FALSE,"Skill matrices can be valuable for workforce planning, ensuring the right skills are available when needed"
2,Skill Matrix,4,Skill matrices are static and do not require regular updates.,FALSE,Skill matrices should be updated regularly to reflect changes in employee skills and the evolving needs of the organization
2,Skill Matrix,5,Skill matrices are primarily focused on assessing the financial performance of a company.,FALSE,"Skill matrices are primarily focused on assessing employee skills and competencies, not financial performance"
2,Skill Matrix,6,A well-maintained skill matrix can improve operational excellence by ensuring that the right people with the right skills are in the right roles.,TRUE,A well-maintained skill matrix can enhance operational excellence by optimizing workforce deployment
2,Supplier Management,1,Effective supplier management involves only negotiating the lowest possible price for goods and services.,FALSE,"Effective supplier management involves a range of activities, including quality assurance, relationship building, and risk mitigation, in addition to negotiating prices"
2,Supplier Management,2,Supplier management is a one-time activity and does not require ongoing monitoring.,FALSE,Supplier management is an ongoing process that requires continuous monitoring and improvement
2,Supplier Management,3,Supplier management is not essential for supply chain sustainability.,FALSE,Supplier management is crucial for ensuring that suppliers adhere to sustainability and ethical practices
2,Supplier Management,4,Supplier management primarily focuses on reducing the number of suppliers to streamline operations.,FALSE,"While supplier consolidation can be a part of supplier management, it also includes evaluating supplier performance, risk assessment, and strategic partnerships"
2,Supplier Management,5,Supplier management plays a minor role in supply chain risk mitigation.,FALSE,"Supplier management is a key component of supply chain risk mitigation, as it helps identify and address potential risks within the supplier network"
2,Supplier Management,6,Effective supplier management can lead to increased supply chain efficiency and reduced costs.,TRUE,"Effective supplier management can result in improved efficiency, cost savings, and better supply chain performance"
2,Audits,1,Audits are conducted solely to identify and punish non-compliance within an organization.,FALSE,Audits are also conducted to assess and improve internal processes and controls
2,Audits,2,Internal audits are typically performed by external third-party organizations.,FALSE,Internal audits are conducted by individuals or teams within the organization
2,Audits,3,Audits are a one-time event and do not require follow-up actions.,FALSE,Audits often require follow-up actions to address findings and improve processes
2,Audits,4,Audit findings should always be kept confidential and not shared with employees.,FALSE,Audit findings may need to be shared with relevant employees to implement corrective actions
2,Audits,5,Audits in supply chain management primarily focus on financial matters.,FALSE,"Supply chain audits can cover various aspects, including quality control, process efficiency, and compliance with regulations"
2,Audits,6,Audits are not essential for maintaining operational excellence within an organization.,FALSE,Audits are essential for identifying areas of improvement and maintaining operational excellence
2,Effective Communication,1,Effective communication within a supply chain is only necessary among top-level executives.,FALSE,"Effective communication is crucial at all levels of the supply chain, from top executives to frontline workers"
2,Effective Communication,2,Effective communication involves only verbal and written communication.,FALSE,"Effective communication also includes non-verbal cues, active listening, and feedback mechanisms"
2,Effective Communication,3,Ineffective communication can lead to misunderstandings and disruptions in the supply chain.,TRUE,"Ineffective communication can result in misunderstandings, delays, and disruptions"
2,Effective Communication,4,Effective communication is not necessary when working with global supply chain partners.,FALSE,Effective communication is even more critical when dealing with global partners due to cultural and language differences
2,Effective Communication,5,One-way communication from top management to employees is sufficient for operational excellence.,FALSE,Operational excellence requires two-way communication that encourages feedback and collaboration
2,Effective Communication,6,"Effective communication can enhance decision-making, problem-solving, and overall supply chain performance.",TRUE,Effective communication is essential for making informed decisions and improving supply chain performance
2,Active Monitoring,1,Active monitoring involves sporadic and irregular checks on supply chain processes.,FALSE,Active monitoring involves continuous and proactive checks on supply chain processes
2,Active Monitoring,2,Active monitoring is not essential for supply chain risk management.,FALSE,Active monitoring is a critical component of supply chain risk management
2,Active Monitoring,3,Active monitoring focuses only on the performance of internal processes and not external factors.,FALSE,Active monitoring includes both internal and external factors affecting the supply chain
2,Active Monitoring,4,Active monitoring requires significant manual intervention and is not suitable for automation.,FALSE,Active monitoring can be automated to a significant extent using technology and data analytics
2,Active Monitoring,5,Active monitoring is primarily reactive and does not help in anticipating issues.,FALSE,"Active monitoring can also be proactive, helping to anticipate and prevent issues before they occur"
2,Active Monitoring,6,Active monitoring is a one-time initiative and does not require continuous efforts.,FALSE,Active monitoring is an ongoing process that requires continuous efforts to ensure supply chain performance
2,Performance Reporting,1,Performance reporting in supply chain focuses solely on financial metrics.,FALSE,Performance reporting in supply chain includes both financial and operational metrics to assess efficiency and effectiveness
2,Performance Reporting,2,Performance reporting is a one-time activity conducted at the end of the fiscal year.,FALSE,"Performance reporting is an ongoing process, typically done periodically, to monitor and improve supply chain performance"
2,Performance Reporting,3,Performance reports are primarily used for internal purposes and not shared with customers or suppliers.,FALSE,"Performance reports may be shared with key stakeholders, including customers and suppliers, to foster transparency and collaboration"
2,Performance Reporting,4,Performance reporting primarily relies on qualitative data.,FALSE,Performance reporting relies on quantitative data and metrics to assess performance objectively
2,Performance Reporting,5,Performance reporting is not useful for identifying areas of improvement in the supply chain.,FALSE,Performance reporting helps identify areas of improvement and guides decision-making for process optimization
2,Performance Reporting,6,Performance reporting is a static process that does not adapt to changing supply chain dynamics.,FALSE,Effective performance reporting systems are dynamic and adapt to changing conditions to ensure relevance
2,Statistical Process Control,1,Statistical process control (SPC) primarily focuses on maintaining consistent processes regardless of variations.,TRUE,SPC aims to maintain consistent processes by detecting and controlling variations
2,Statistical Process Control,2,SPC is a reactive approach used to fix problems after they occur.,FALSE,SPC is a proactive approach that helps identify issues early to prevent defects or problems from occurring
2,Statistical Process Control,3,SPC is mainly applicable to manufacturing processes and not relevant to supply chain management.,FALSE,"SPC can be applied to various aspects of supply chain management, such as inventory control and order processing"
2,Statistical Process Control,4,SPC relies solely on statistical techniques and does not require input from domain experts.,FALSE,SPC combines statistical techniques with domain expertise to make informed decisions
2,Statistical Process Control,5,"In SPC, the goal is to achieve zero defects in all processes.",FALSE,"While SPC aims to reduce defects, it recognizes that achieving zero defects may not always be realistic"
2,Statistical Process Control,6,"SPC charts, such as control charts, are primarily used for communication and do not influence decision-making.",FALSE,SPC charts play a crucial role in decision-making by providing visual representations of process performance
2,Agile management,1,Agile management is a rigid and inflexible approach that does not adapt to changing circumstances.,FALSE,Agile management is highly adaptable and embraces change to respond to evolving circumstances
2,Agile management,2,Agile management prioritizes comprehensive documentation over responding to customer needs.,FALSE,Agile management values customer needs and collaboration over extensive documentation
2,Agile management,3,"Agile management practices, such as Scrum and Kanban, are only applicable to software development.",FALSE,"Agile practices can be applied beyond software development, including supply chain management"
2,Agile management,4,Agile management encourages hierarchical decision-making structures.,FALSE,Agile management promotes decentralized decision-making and team empowerment
2,Agile management,5,Agile management places much importance on customer feedback.,TRUE,Agile management places a strong emphasis on gathering and acting upon customer feedback
2,Agile management,6,Agile management focuses on delivering a final product or service without iterative improvements.,FALSE,Agile management embraces iterative development and continuous improvement throughout the project or process
3,Modularity Creation,1,Modularity creation in supply chain means making every process as unique and customized as possible to cater to specific customer needs.,FALSE,"Modularity creation actually involves designing processes and systems in a way that allows for flexibility and interchangeability of components or modules, which can be reconfigured to meet different customer needs efficiently."
3,Modularity Creation,2,Modularity creation simplifies supply chain management by reducing complexity and increasing adaptability.,TRUE,"Modularity creation aims to simplify supply chain processes by breaking them down into interchangeable modules, making it easier to adapt to changing market conditions or customer requirements."
3,Modularity Creation,3,"In a modular supply chain, all modules are tightly integrated, and there is no room for independent decision-making.",FALSE,"Modularity in supply chain allows for independent decision-making within each module, promoting agility and responsiveness at the module level while maintaining overall coordination."
3,Modularity Creation,4,Modularity creation primarily focuses on creating rigid processes to ensure consistency and quality.,FALSE,"Modularity creation focuses on creating flexible processes that can be adapted and reconfigured to meet changing demands, rather than rigid ones."
3,Modularity Creation,5,A modular supply chain is less susceptible to disruptions because it can quickly replace a module if it fails.,TRUE,"Modularity allows for easy replacement of a module in case of failure, reducing the impact of disruptions on the overall supply chain."
3,Modularity Creation,6,Modularity creation is a one-time design process and does not require continuous improvement efforts.,FALSE,Modularity creation requires ongoing efforts to refine and optimize modules based on changing market conditions and customer feedback.
